words,freq,word_id,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
bonveni,3.86349001931745e-4,9569,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bonveni,3.86349001931745e-4,9569,nom,NA,welcome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bonveni,3.86349001931745e-4,9569,esclama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
colie,3.86349001931745e-4,1906,verbo transitiva,pone (cosas) con lunlotra; cumula (cosas sperdeda); xerca e oteni (cosas),collect,NA,colección,rassembler,NA,NA,NA,NA,NA,NA,NA,NA,NA,samle,einsammeln,NA,he: לאסוף,NA,NA
colie,3.86349001931745e-4,1906,nom,NA,collection,NA,NA,ensemble,NA,NA,NA,NA,NA,NA,NA,NA,NA,sæt,Satz,NA,he: אוסף,NA,NA
espera,3.86349001931745e-4,3307,verbo transitiva siensa-umana,senti o espresa un desira forte per (alga cosa) o ce (alga cosa) va aveni,hope for,NA,esperar,NA,NA,NA,NA,NA,NA,NA,NA,espera un dia solosa; on espera ce lo no va pluve,NA,håbe,hoffen,NA,NA,NA,NA
espera,3.86349001931745e-4,3307,nom,NA,hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fenetra,3.86349001931745e-4,3533,nom arciteta,un abri en un mur o teto,window,NA,ventana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vindue,Fenster,NA,NA,NA,NA
franses,3.86349001931745e-4,3762,ajetivo,NA,French (person,NA,francés,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
franses,3.86349001931745e-4,3762,nom demonim,NA,French (person,NA,francés,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jardin,3.86349001931745e-4,4663,nom arciteta,un area de tera,garden,NA,jardín,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,have,Garten,NA,NA,NA,NA
lava,3.86349001931745e-4,4892,verbo transitiva,limpi (un person o cosa) con acua e tipal sapon o deterjente,wash,NA,lavar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vaske,waschen,NA,NA,NA,NA
lava,3.86349001931745e-4,4892,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lava,3.86349001931745e-4,4893,nom tera,roca calda e fondeda cual eruta de un volcan o fesur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
parola,3.86349001931745e-4,6569,nom linguistica,un elemento de parla o scrive,word,NA,palabra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ord,Wort,NA,NA,NA,NA
problem,3.86349001931745e-4,7218,nom,un situa,problem; difficulty,problemo,problema,problème,NA,NA,NA,NA,NA,NA,NA,NA,NA,problem,Problem,NA,NA,NA,NA
reveni,3.86349001931745e-4,9569,verbo nontransitiva,NA,come back,reveni,volver,revenir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zurückkommen,NA,NA,NA,ru: возвращаться
reveni,3.86349001931745e-4,9569,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sala,3.86349001931745e-4,7789,nom arciteta,un parte de un construida ensircada par mures,room,ĉambro,cuarto,salle,NA,NA,NA,NA,NA,NA,NA,NA,NA,rum,Zimmer,NA,NA,NA,ru: комната
soldi,3.86349001931745e-4,8393,nom,la dia entre saturdi e lundi en cada semana,Sunday,dimanĉo,domingo,dimanche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sonntag,NA,NA,NA,ru: воскресенье
sorti,3.86349001931745e-4,8429,verbo nontransitiva,vade a estra,go out,eliri,salir,sortir,NA,On pone `de` entre la verbo e la loca de cual on sorti.,NA,NA,NA,NA,NA,el sorti de la casa,NA,NA,hinausgehen,NA,NA,NA,ru: выходить
sorti,3.86349001931745e-4,8429,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sorti,3.86349001931745e-4,8429,nom,NA,exit,elirejo,salida,sortie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ausgang,NA,NA,NA,ru: выход
xines,3.86349001931745e-4,9818,ajetivo,NA,Chinese,ĉina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xines,3.86349001931745e-4,9818,nom,NA,Chinese (person,ĉino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catura,3.648851684910925e-4,1685,verbo transitiva,saisi la posese o controla de (un person o cosa) par forsa,capture,NA,NA,capturer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ללכוד,NA,NA
encontra,3.648851684910925e-4,3098,verbo transitiva,veni a la presentia o acompania de (algun),meet,NA,encontrarse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,møde,treffen,NA,NA,NA,NA
encontra,3.648851684910925e-4,3098,nom,NA,meeting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
esiste,3.648851684910925e-4,3290,verbo nontransitiva filosofia,es real,exist,NA,existir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,existere,existieren,NA,NA,NA,NA
esiste,3.648851684910925e-4,3290,nom,NA,existence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
estra,3.648851684910925e-4,3338,preposada,situada ultra la bordas o limitas de (un loca - may be incomplete,outside (a place or time),ekster,fuera de,hors de,NA,NA,cuando,NA,NA,NA,NA,abita estra la site; estra peril; estra la oras de labora; estra la familia,NA,ude,aussen,NA,NA,NA,NA
frate,3.648851684910925e-4,3767,nom siensa-umana,un umana mas en relata a otra enfantes de sua jenitores; un tipo de monce,brother; friar,NA,hermano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bror,Bruder,NA,NA,NA,NA
lasa,3.648851684910925e-4,4869,verbo transitiva,permete ce (un person o cosa) resta o aveni; permete (ce on fa alga cosa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
modo,3.648851684910925e-4,5648,nom,un ata o sistem par cual un cosa aveni o on reali un resulta,manner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en modo interesante,NA,NA,NA,NA,NA,NA,NA
nase,3.648851684910925e-4,5892,verbo nontransitiva biolojia,(un enfante) deveni un individua par sorti de la utero de un fema; (metafor) deveni esistente,be born; come into existence,NA,nacer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nase,3.648851684910925e-4,5892,verbo transitiva,NA,bear,NA,NA,NA,NA,NA,pari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nase,3.648851684910925e-4,5892,nom,NA,birth,NA,nacimiento,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fødsel,Geburt,NA,NA,NA,NA
note,3.648851684910925e-4,6056,nom,la periodo de oscuria en cada 24 oras; la tempo entre la reposa de sol e la leva de sol,night,NA,noche,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nat,Nacht,NA,NA,NA,NA
perde,3.648851684910925e-4,6708,verbo transitiva,sesa ave o reteni (un cosa); deveni privada de (un person o cosa); ariva tro tarda per usa (un veculo),lose,NA,perder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tabe,verlieren,NA,NA,NA,NA
perde,3.648851684910925e-4,6708,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
su,3.648851684910925e-4,8615,preposada,situada o estendente a un loca plu basa o profonda ca; plu basa ca (un cuantia - may be incomplete,below,sub,bajo,sous,NA,NA,NA,NA,NA,NA,NA,ombra su la arbores; un table su la fenetra; un sueter su un jaca; labora su esta regulas; la temperatur es su zero,NA,under,unter,NA,NA,NA,под
su,3.648851684910925e-4,8616,ajetivo,pertinente a un popla de americanes orijinal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
su,3.648851684910925e-4,8616,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
table,3.648851684910925e-4,8736,nom arciteta,un mobila con surfas plana e un o plu gamas,table (furniture); board (game); table (of information),NA,mesa,table; tableau,NA,NA,NA,NA,NA,NA,NA,NA,NA,bord,Tisch,NA,NA,NA,ru: стол
teme,3.648851684910925e-4,8886,verbo transitiva,senti ce (un person o cosa) es perilosa,fear,NA,temer,avoir peur,NA,NA,NA,NA,NA,NA,NA,NA,NA,frygte,fürchten,NA,NA,NA,NA
teme,3.648851684910925e-4,8886,nom,NA,fear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ariva,3.4342133505044003e-4,581,verbo nontransitiva,ateni la loca a la fini de un viaja; ateni un conclui o deside; (un bebe) nase; (un tecnica o produida) comensa es usada; (un momento prevideda) aveni; (nonformal) orgasma,arrive; (colloquial) come (orgasm),NA,NA,arriver; (familier) jouir (orgasme),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להגיע,NA,NA
ariva,3.4342133505044003e-4,581,nom,NA,arrival; advent (including religious),NA,llegada,arrivée,NA,NA,NA,NA,NA,NA,NA,NA,NA,ankomst,Ankunft,NA,he: הגעה; (נצרות) ציפייה,NA,NA
corpo,3.4342133505044003e-4,2191,nom anatomia,la strutur fisical de un person o animal,body (person,NA,cuerpo,corps (personne,NA,NA,NA,NA,NA,NA,NA,NA,NA,krop,Körper,NA,he: גוף; גיס,NA,NA
crese,3.4342133505044003e-4,2295,verbo nontransitiva biolojia,developa natural par deveni plu grande e cambia fisical; progresa a maturia; deveni plu grande,grow,NA,crecer,grandir,NA,NA,NA,NA,NA,NA,NA,NA,NA,vokse,ausbreiten,NA,he: לצמוח,NA,NA
crese,3.4342133505044003e-4,2295,verbo transitiva,NA,grow,NA,NA,faire grandir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להצמיח,NA,NA
crese,3.4342133505044003e-4,2295,nom,NA,growth,NA,NA,croissance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: צמיחה,NA,NA
cuatro,3.4342133505044003e-4,2406,determinante matematica,2 multiplida par 2; la numero entre tre e sinco,four,NA,cuatro,quatre,NA,NA,NA,NA,NA,NA,NA,NA,NA,fire,vier,NA,he: ארבע,NA,NA
cuatro,3.4342133505044003e-4,2406,ajetivo,NA,fourth (ordinal),NA,NA,quatrième (ordinal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: רביעי,NA,NA
custa,3.4342133505044003e-4,2481,verbo transitiva mone,(un ben o servi) es otenable pos la paia de (un cuantia spesifada de mone),cost,NA,costar,coûter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לעלות (כסף),NA,NA
custa,3.4342133505044003e-4,2481,nom,NA,cost,prezo,precio,prix,NA,NA,NA,NA,NA,NA,NA,NA,NA,pris,Preis,NA,עלות,NA,NA
enebriada,3.4342133505044003e-4,3117,ajetivo,NA,intoxicated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
enebriada,3.4342133505044003e-4,3117,nom,NA,drunk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
escuta,3.4342133505044003e-4,3276,verbo transitiva biolojia,atende la parla o sona de (un person o cosa),listen (to),NA,NA,écouter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,слушать
escuta,3.4342133505044003e-4,3276,nom,NA,hearing (legal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
espeta,3.4342133505044003e-4,3312,verbo transitiva,regarda (alga cosa) como probable; resta asta (un tempo o aveni spesifada,expect,NA,esperar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vente,erwarten,NA,NA,NA,NA
espeta,3.4342133505044003e-4,3312,nom,NA,expectation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
este,3.4342133505044003e-4,3329,ajetivo tera,(un loca o parte de loca) situada en dirije a la punto do la Sol leva a la ecuinotes; (un person o venta) veninte de esta dirije,east,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
este,3.4342133505044003e-4,3329,nom,NA,east,NA,este,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,øst,Ost,NA,NA,NA,NA
joven,3.4342133505044003e-4,4774,ajetivo biolojia,de un eda nonadulte; con cualias comun per persones nonadulte,young,NA,joven,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ung,jung,NA,NA,NA,NA
joven,3.4342133505044003e-4,4774,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mil,3.4342133505044003e-4,5558,determinante matematica,1000,(a) thousand,NA,mil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tusinde,tausend,NA,NA,NA,NA
mil,3.4342133505044003e-4,5558,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
plen,3.4342133505044003e-4,6937,ajetivo,conteninte tan multe como posible,full,plena,pleno,plein,NA,NA,NA,NA,NA,NA,NA,NA,NA,fuld,voll,NA,NA,NA,ru: полный
plen,3.4342133505044003e-4,6937,averbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
portuges,3.4342133505044003e-4,7122,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
portuges,3.4342133505044003e-4,7122,nom demonim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sidra,3.4342133505044003e-4,8198,nom cosini,un bevida preparada par maxa frutas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
simple,3.4342133505044003e-4,8241,ajetivo,fasil comprendeda o fada,simple,simpla,simple,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,simpel,einfach,NA,NA,NA,ru: простой
simple,3.4342133505044003e-4,8241,averbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
strada,3.4342133505044003e-4,8578,nom arciteta veculo,un via publica en un site o vila,street (city),strato,calle,rue,NA,NA,NA,NA,NA,NA,NA,NA,NA,gade,Strasse,NA,NA,NA,NA
verde,3.4342133505044003e-4,9584,ajetivo color,con color entre blu e jala en la spetro,green; verdant,NA,verde,vert,NA,NA,NA,NA,NA,NA,NA,NA,NA,grøn,grün,NA,NA,NA,NA
verde,3.4342133505044003e-4,9584,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vila,3.4342133505044003e-4,9638,nom arciteta,un urbe con nom,town,urbo,pueblo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,by,NA,NA,NA,NA,NA
vola,3.4342133505044003e-4,9701,verbo nontransitiva,move tra la aira como un avia,fly,NA,volar,voler,NA,NA,NA,NA,NA,NA,NA,NA,NA,flyve,fliegen,NA,NA,NA,ru: лететь
vola,3.4342133505044003e-4,9701,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vola,3.4342133505044003e-4,9701,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cisa,3.219575016097875e-4,1786,averbo,espresante ce un declara es nonserta o mera un posible,maybe,NA,quizás,peut-être,NA,NA,NA,NA,NA,NA,NA,NA,NA,måske,vielleicht,NA,he: אולי,NA,NA
clui,3.219575016097875e-4,1844,verbo nontransitiva,(un abri o porte) deveni blocida o covreda; (acua o eletrica) deveni prevenida de move par un valva o comutador,close,NA,cerrar(se),se fermer,NA,NA,NA,NA,NA,NA,NA,NA,NA,lukke,schliessen,NA,he: להיסגר; להתכבות,NA,NA
clui,3.219575016097875e-4,1844,verbo transitiva,NA,close,NA,NA,fermer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לסגור,NA,NA
clui,3.219575016097875e-4,1844,nom,NA,closure,NA,NA,fermeture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סגירה,NA,NA
color,3.219575016097875e-4,1927,nom color,la cualia de un cosa cual produi un sensa a la oio par la modo en cual lo refleta o emete lus; la pigmento de la pel,color|ur,NA,color,couleur,NA,NA,NA,NA,NA,NA,NA,NA,NA,farve,Farbe,NA,he: צבע,NA,NA
core,3.219575016097875e-4,2158,verbo nontransitiva,move rapida par usa sua pedes; (un licuida,run,NA,correr,courir,NA,NA,NA,NA,NA,NA,NA,NA,NA,løbe,laufen,NA,he: לרוץ,NA,NA
core,3.219575016097875e-4,2158,nom,NA,run (including cricket),NA,NA,course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ריצה,NA,NA
dansa,3.219575016097875e-4,2509,verbo nontransitiva musica,move ritmosa a musica,dance,NA,bailar,danser,NA,NA,NA,NA,NA,NA,NA,NA,NA,danse,tanzen,NA,לרקוד,NA,ru: танцевать
dansa,3.219575016097875e-4,2509,nom,NA,dance,NA,baile,danse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ריקוד,NA,ru: танец
engles,3.219575016097875e-4,3129,ajetivo,NA,English (person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
engles,3.219575016097875e-4,3129,nom demonim,NA,English; Englishman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jornal,3.219575016097875e-4,4771,nom arte informatica,un publici periodal,journal,NA,revista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,magasin (blad),Zeitschrift,NA,NA,NA,NA
lfn,3.219575016097875e-4,4960,corti,Lingua Franca Nova,NA,NA,NA,NA,NA,Esta lingua ia es orijinal conoseda como `LFN`,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
masca,3.219575016097875e-4,5327,nom veste,un covrente per tota o un parte de la fas,mask,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
max,3.219575016097875e-4,5363,nom sporte,un concurso de sporte,match,NA,juego,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kamp,Partie,NA,NA,NA,NA
move,3.219575016097875e-4,5768,verbo nontransitiva,vade en un modo o dirije spesifada; cambia sua loca o posa,move,NA,moverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bevæge,sich bewegen,NA,NA,NA,NA
move,3.219575016097875e-4,5768,verbo transitiva,fa ce alga cosa cambia sua loca o posa,move,NA,mover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bewegen,NA,NA,NA,NA
move,3.219575016097875e-4,5768,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oblida,3.219575016097875e-4,6099,verbo transitiva siensa-umana,no recorda; no pote recorda,forget,NA,olvídar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glemme,vergessen,NA,NA,NA,NA
pas,3.219575016097875e-4,6584,nom governa,calmia,peace,NA,paz,NA,NA,NA,NA,NA,NA,NA,☮,NA,NA,fred,Friede,NA,NA,NA,NA
polisia,3.219575016097875e-4,7018,nom governa,un forte nonmilitar de un governa nasional o local,police,polico,policía,police,NA,NA,NA,NA,NA,NA,NA,NA,NA,politi,Polizei,NA,NA,NA,NA
popla,3.219575016097875e-4,7052,verbo transitiva siensa-umana,fa ce persones abita (un loca),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
popla,3.219575016097875e-4,7052,nom,la cuantia de persones ci abita un loca; la persones de un nasion,population (action,popolo,gente,peuple; les gens,NA,NA,NA,NA,NA,NA,NA,NA,NA,mennesker,Publikum,NA,NA,NA,NA
pronto,3.219575016097875e-4,7252,ajetivo,preparada per funsiona direta o pos tempo minima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pronto,3.219575016097875e-4,7252,averbo,pos tempo minima o multe corta,soon,baldaŭ,pronto,bientôt,NA,NA,NA,NA,NA,NA,NA,NA,NA,rettidig,bald,NA,NA,NA,ru: скоро
variosa,3.219575016097875e-4,9528,ajetivo,NA,various,NA,NA,NA,NA,NA,diversa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ambos,3.00493668169135e-4,273,determinante,tota la du en junta; cada de la du a grado egal,both,NA,NA,tous les deux,NA,NA,NA,NA,NA,NA,NA,ambos formas es coreta,NA,NA,NA,NA,he: שני ה-,NA,NA
ambos,3.00493668169135e-4,273,pronom,NA,both,NA,NA,tous deux,NA,Dise `ambos de nos`,NA,NA,NA,NA,NA,ambos es bon,NA,NA,NA,NA,he: גם וגם,NA,NA
apare,3.00493668169135e-4,467,verbo nontransitiva,deveni vidable o notable,appear,NA,aparecer,apparaître,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להופיע,NA,NA
apare,3.00493668169135e-4,467,verbo transitiva,NA,cause to appear,NA,hacer aparecer,faire apparaître,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לגרום להופיע,NA,NA
apare,3.00493668169135e-4,467,nom,NA,appearance,NA,aparición,apparition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הופעה,NA,NA
ecipo,3.00493668169135e-4,2903,nom sporte,un grupo de persones ci labora con lunlotra; un grupo de juores ci formi un lado en un jua o sporte; un grupo peti de soldatos con un taxe comun,crew,ekipo,equipo,équipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,team,Mannschaft,NA,צוות,NA,NA
gas,3.00493668169135e-4,3914,nom fisica,un materia fluente como aira,gas,NA,gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gas,Gas,NA,NA,NA,NA
grupo,3.00493668169135e-4,4095,nom,un cuantia de persones o cosas prosima a lunlotra o clasida con lunlotra,group,NA,grupo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gruppe; parti (samling af produkter),Gruppe,NA,NA,NA,NA
istoria,3.00493668169135e-4,4621,nom istoria,la studia de avenis pasada,history; track record,NA,historia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,historie,Geschichte,NA,NA,NA,NA
local,3.00493668169135e-4,5065,ajetivo,NA,local,NA,local,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lokal,örtlich,NA,NA,NA,NA
nosa,3.00493668169135e-4,6048,determinante,NA,our,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
propre,3.00493668169135e-4,7262,ajetivo prenomal,parteninte o pertinente a un person o cosa spesifada,NA,NA,NA,NA,NA,`Propre` pote ance apare pos la nom,NA,NA,NA,NA,NA,el rasca sua propre dorso,NA,NA,NA,NA,NA,NA,NA
sesa,3.00493668169135e-4,8134,verbo nontransitiva,para sua ativia presente,cease,ĉesi,cesar,cesser,NA,NA,NA,NA,NA,NA,NA,NA,NA,stoppe,aufhören,NA,NA,NA,NA
sesa,3.00493668169135e-4,8134,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sesa,3.00493668169135e-4,8134,nom,NA,cessation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sete,3.00493668169135e-4,8149,determinante matematica,la numero entre ses e oto,seven,sep,siete,sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,syv,sieben,NA,NA,NA,NA
sete,3.00493668169135e-4,8149,ajetivo,NA,seventh (ordinal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sistem,3.00493668169135e-4,8330,nom filosofia,un colie de partes cual formi un intera complicada como un rede o macina; (en biolojia) un colie de organos en la corpo con strutur o funsiona comun; (en informatica) un grupo relatada de aparatos o programes o ambos,system,sistemo,sistema,système,NA,NA,NA,NA,NA,NA,NA,NA,NA,system,System,NA,NA,NA,NA
via,3.00493668169135e-4,9615,nom,un tereno usada o creada per vade o viaja,way,NA,ruta,voie,NA,NA,NA,NA,NA,NA,NA,NA,NA,rute,Bahn,NA,NA,NA,ru: путь
belia,2.790298347284825e-4,1021,nom,NA,beauty,NA,NA,beauté,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: יופי,NA,NA
compartida,2.790298347284825e-4,1970,ajetivo,NA,shared,NA,NA,partagé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: משותף,NA,NA
compartida,2.790298347284825e-4,1970,averbo,NA,in common,NA,NA,en commun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: במשותף,NA,NA
computador,2.790298347284825e-4,1988,nom,NA,computer; central processing unit,NA,computadora,ordinateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,computer,Computer,NA,he: מחשב,NA,NA
construida,2.790298347284825e-4,2077,nom,NA,building,NA,construcción,construction,NA,NA,NA,NA,NA,NA,NA,NA,NA,bygning,Gebäude,NA,he: מבנה,NA,NA
corea,2.790298347284825e-4,2159,nom util,un peso de corda,leash,NA,NA,courroie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: רצועה,NA,NA
corea,2.790298347284825e-4,2160,nom medica,un disturba neuronal,chorea (medical),NA,NA,chorée,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מחולית,NA,NA
crea,2.790298347284825e-4,2284,verbo transitiva,fa ce (un cosa) esiste o (un situa) aveni; fabrica (un ojeto o sustantia),create,NA,crear,créer,NA,NA,NA,NA,NA,NA,NA,NA,NA,skabe,schaffen,NA,he: ליצור,NA,NA
crea,2.790298347284825e-4,2284,nom,NA,creation (action); genesis,NA,NA,création (action),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: יצירה,NA,NA
donce,2.790298347284825e-4,2828,averbo,par esta razona o causa,therefore,NA,NA,donc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לכן,NA,NA
donce,2.790298347284825e-4,2828,conjunta,NA,therefore,NA,NA,donc,NA,NA,NA,NA,NA,NA,NA,me pensa,NA,NA,NA,NA,he: ולכן,NA,NA
