word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru
valida,ajetivo governa,(un razona) bon fundida en lojica o fatos; (un acorda) legal asetable; (un bileta,valid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
altai,ajetivo,NA,Altai,NA,NA,altaï (personne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אלטאי,NA,NA
probable,ajetivo filosofia,statistical o lojical espetada en un situa spesifada,probable,probabla,probable,probable,NA,NA,NA,NA,NA,NA,NA,NA,NA,sandsynlig,wahrscheinlich,NA,NA,NA,NA
saca,verbo transitiva istoria,fura la ricas e destrui la construidas de (un loca o site caturada),sack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fluorido,nom cimica,un composada de fluor con un otra elemento o grupos,fluoride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
elefen,ajetivo linguistica,pertinente a lingua franca nova,Elefen,NA,NA,elefen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: של אלפן,NA,NA
pedicura,nom veste,la trata cosmetica de la pedes e la ungias de orteos,pedicure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
european,ajetivo,NA,European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
automata,nom,NA,automat,NA,NA,automate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אוטומט,NA,NA
nota,verbo transitiva,scrive un rejistra corta de (un fato,note,NA,notar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bemærke,merken,NA,NA,NA,NA
aristocrata,nom,NA,aristocrat,NA,NA,aristocrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אציל,NA,NA
soia,nom planta cosini,un planta asian,soya,sojo,soja,soja,NA,NA,NA,NA,Glycine max,NA,NA,NA,NA,soya,Sojabohne,NA,NA,NA,NA
druida,nom relijio siensa-umana,un prete o previdor en la relijio de la celtas antica,druid,NA,NA,druide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דרואיד,NA,NA
multipli,verbo transitiva,NA,multiply,NA,multiplicar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gange,multiplizieren,NA,NA,NA,NA
automobil,nom veculo,un auto,automobile,NA,NA,voiture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מכונית,NA,NA
zona,nom tera,un rejion de un site o planeta con un cualia o usa distinguinte,zone,zono (regiono),zona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
demiurgo,nom relijio,(en platonisme) la creor de la mundo; (en gnosticisme e otra teolojias) un esente sielal,demiurge,NA,NA,démiurge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (דת) בורא עולם,NA,NA
prematur,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
momento,nom,un periodo de tempo estrema corta; un punto esata en tempo; la cuantia de move de un cosa,moment,NA,momento,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,øjeblik,Augenblick,NA,NA,NA,NA
bulbo,nom biolojia,un organo de alga plantas,bulb,NA,NA,bulbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פקעת,NA,NA
demonim,nom,NA,demonym,NA,NA,gentilé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: השם שעם קורא לעצמו,NA,NA
cava,nom tera anatomia,un cambra grande,cave,NA,cueva,grotte,NA,NA,NA,NA,NA,NA,NA,NA,NA,hule,Höhle,NA,he: מערה,NA,NA
anatolian,ajetivo demonim,NA,Anatolian,NA,NA,anatolien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור לאנטוליה,NA,NA
disolve,nom,NA,dissolution; solution (liquid mixture),NA,NA,dissolution; solution (mélange liquide),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: התמוססות; התפזרות,NA,NA
depende,nom,NA,dependence,NA,NA,dépendance; addiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תלות (גם בסמים),NA,NA
zigzaga,verbo nontransitiva arte,move tal ce on fa verjes angulo subita en dirijes alternante,zigzag,zigzagi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coere,verbo nontransitiva,formi un intera unida; conteni no contradises de lojica o strutur,cohere,NA,NA,être soudés,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להתלכד,NA,NA
fortres,nom governa,un construida o vila forte e bon protejeda,fortress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coala,nom mamal,un marsupio arboral e ursin de Australia,koala,NA,NA,koala,NA,NA,NA,NA,Phascolarctos cinereus,NA,NA,NA,NA,NA,NA,NA,he: קואלה,NA,NA
falconor,nom,NA,falconer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zombi,nom mitolojia,un corpo mor,zombie,zombio,zombi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
truple,nom,NA,trio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dividendo,nom mone,la cuantia de sua profitas o reservas cual un compania paia periodal (tipal a un ves per anio) a sua asionores,dividend,NA,NA,dividende (finance),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דיבידנד,NA,NA
microfarade,nom,NA,microfarad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ugandan,nom,NA,Ugandan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cono,nom,NA,cone,NA,cono,cône,NA,NA,NA,NA,NA,NA,NA,NA,NA,kegle,Kegel,NA,he: חרוט,NA,NA
transita,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
batalion,nom,un grupo grande de soldatos preparada per batalia; (metafor) un grupo grande de persones campaniante per un gol comun,battalion,NA,NA,bataillon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: גדוד,NA,NA
covre,nom,NA,coverage,NA,cubierta,couverture,NA,NA,NA,NA,NA,NA,NA,NA,NA,låg,NA,NA,he: כיסוי,NA,NA
animales,nom plural,NA,animals,NA,NA,faune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בעלי חיים,NA,NA
ecoside,verbo transitiva,destrui la ecolojia de (un loca),commit ecocide,NA,NA,commettre un écocide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לגרום לאקוסייד,NA,NA
serenada,nom,un musica cantada o juada estra un casa a note,serenade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
completa,nom,un cosa completa; un colie de vestes de la mesma stofa,whole; suit,NA,NA,complet (vêtement),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מכלול; חליפה,NA,NA
arcada,nom,un coredor covreda,arcade,NA,NA,arcade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ארקדה,NA,NA
elastan,nom veste,un stofa elastica de poliuretan,elastane,NA,NA,élasthanne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לייקרה,NA,NA
altera,verbo transitiva,NA,alter,NA,NA,modifier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לשנות,NA,NA
nasional,ajetivo,NA,national,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
antijen,ajetivo medica,un venena o otra materia esterna cual indui un responde imunial en la corpo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nota,nom,un rejistra corta scriveda per aida recorda; un letera o mesaje corta scriveda; (en musica) un tono musical de altia spesifada; un sinia scriveda cual representa un tal tono,note,NA,nota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,note,Notiz,NA,NA,NA,NA
declara,nom,NA,statement,NA,NA,déclaration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,הצהרה,NA,ru: объявление
dinamite,nom cimica util,un esplodente forte,dynamite,NA,NA,dynamite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דינמיט,NA,NA
covalente,ajetivo,pertinente a lias cimical formida par la comparti de eletrones par atomes,covalent,NA,NA,covalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (כימיה) קוולנטי,NA,NA
bitume,nom cimica,un misca negra e viscosa de idrocarbonos,bitumen,NA,NA,bitume,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אספלט,NA,NA
oboiste,nom,NA,oboist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
consonante,ajetivo linguistica,(un sona de parla) en cual la respira es partal o intera impedida,consonant (language,NA,NA,consonantique (phonétique),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עיצורי; (מוזיקה) נמזג,NA,NA
crac,nom medica,un forma dur e cristal de cocaina,crack,NA,NA,crack (drogue),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קראק,NA,NA
tormenta,nom,NA,torment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
indicador,nom,la parte de un strumento cual mostra un mesura; un plata sur cual un avisa corta es mostrada; un ojeto usada per nota un loca,indicator,indikilo; markilo; legosigno,dial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,drejeskive,Zifferblatt,NA,NA,NA,NA
arcipelago,nom tera,un grupo o cadena de isolas,archipelago,NA,archipiélago,archipel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ארכיפלג,NA,NA
impedi,verbo transitiva,bloci (un person o cosa) per retarda o para el o lo,impede,malhelpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,verhindern,NA,NA,NA,NA
flota,nom,un ata de flota; un ojeto vacua o inflada per aida flota; un boia peti usada per pexores; un strutur su un avion de mar cual permete ce lo enaira de sur acua,flotation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cosmetica,ajetivo veste,pertinente a tratas intendeda per boni o repara la aspeta de un person,cosmetic,NA,NA,cosmétique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קוסמטי,NA,NA
asturian,ajetivo demonim,NA,Asturian,NA,NA,asturien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור לאסטוריאס,NA,NA
futuriste,nom,NA,futurist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
progresa,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
colide,nom,NA,collision,NA,NA,collision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: התנגשות,NA,NA
tortura,verbo transitiva governa,causa un dole sever a (algun); causa un sufri mental multe grande a (algun),torture,NA,torturar,torturer,NA,NA,NA,NA,NA,NA,NA,NA,NA,torturere,foltern,NA,NA,NA,NA
floreta,nom,NA,floret,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
angolan,ajetivo demonim,NA,Angolan,NA,NA,angolan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אנגולי,NA,NA
fertil,ajetivo biolojia,(tera) capas de produi multe cultivadas; (un seme o ovo) capas de deveni un individua nova; (un person,fertile,NA,fértil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,frugtbar,fruchtbar,NA,NA,NA,NA
descrivable,ajetivo,NA,describable,NA,NA,descriptible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שניתן לתיאור,NA,NA
imaje,nom arte informatica,un representa vidal,image,figuro,cuadro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,billede,Bild,NA,NA,NA,NA
fronte,ajetivo anatomia,(un parte) a la lado xef o prima videda o usada de un cosa; anterior,front,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabue,nom jeografial,un pais en Africa sude,Zimbabwe,Zimbabvo,Zimbabue,NA,Harare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
astronomial,ajetivo,NA,astronomical,NA,NA,astronomique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אסטרונומי,NA,NA
arte deco,nom,NA,art deco,NA,NA,art déco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ארט דקו,NA,NA
islam,nom relijio,la relijio monoteiste como revelada par la profeta Muhammad,Islam,NA,NA,NA,NA,NA,muslim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fama,nom siensa-umana,la state de es bon conoseda o discuteda par multe persones,fame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
campa,verbo nontransitiva arciteta,abita per un tempo en un tenda,camp,NA,NA,camper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לחנות (להקים מחנה),NA,NA
Babilon,nom jeografial istoria,un site major en Babilonia,Babylon,NA,Babilonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eujenetical,ajetivo,NA,eugenetical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
colonialisme,nom,NA,colonialism,NA,NA,colonialisme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קולוניאליזם,NA,NA
trapa,nom util,un aparato desiniada per catura e reteni animales; un situa nonplasente cual es difisil per evita o evade; un problem o nonvantaje en un situa cual pare bon,trap,kaptilo,trampa,piège,NA,NA,NA,NA,NA,NA,NA,NA,NA,fælde,Falle,NA,NA,NA,NA
tumulta,nom governa,la ruido,tumult,tumulto,alboroto,tumulte,NA,NA,NA,NA,NA,NA,NA,NA,NA,uro,Aufruhr,NA,NA,NA,NA
curva,ajetivo matematica,con forma cual devia gradal de retia,curved,NA,doblado,courbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,bøjet,gebeugt,NA,he: מעוקם,NA,NA
disolvable,ajetivo,NA,dissolvable,NA,NA,soluble,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מסיס,NA,NA
carma,nom relijio,(en budisme e induisme) la soma de la atas de un person en esta vive e sua vives pasada,karma,NA,NA,karma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קארמה,NA,NA
jeta,nom,NA,jet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bal,nom sporte,un sfera o oval,ball,NA,balón,ballon,NA,NA,NA,NA,NA,NA,NA,NA,NA,bold,Ball,bóla,he: כדור,NA,NA
crusada,verbo nontransitiva istoria,un mision militar medieval en un serie fada par europeanes per regania la Tera Santa de la muslimes entre la sentenios 11 e 13; cualce gera con intendes relijial; (metafor) un campania organizada con intende political,crusade,NA,NA,partir en croisade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לצאת למסע צלב,NA,NA
flamable,ajetivo,NA,flammable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ingrediente,nom cosini,un cosa cual on combina con otra cosas per produi un comeda; un parte o elemento nesesada per produi alga cosa,ingredient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cloro-,prefisa tecnical,verde,chloro-,NA,NA,chloro- (chimie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (קידומת טכנית) ירוק,NA,NA
aliasi,verbo transitiva,NA,alias,NA,NA,créneler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לתת כינוי,NA,NA
elfo,nom mitolojia,un organisme mital con forma umana,elf,NA,NA,elfe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שדון,NA,NA
defiante,ajetivo,NA,defiant,NA,NA,provocateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,מתריס,NA,ru: вызывающий (например о поведении)
deserto,nom tera,un zona multe seca,desert,NA,desierto,désert,NA,NA,NA,NA,NA,NA,NA,NA,NA,ørken,Wüste,NA,he: מדבר,NA,NA
carotide,ajetivo anatomia,pertinente a la du arterias xef cual porta sangue a la testa e colo,carotid,NA,NA,carotide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עורק תרדמני,NA,NA
inclina,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
roca,nom tera,un materia solida de minerales cual formi un parte de la surfas de la Tera e planetas simil; un masa de esta,rock,roko,roca,roche,NA,NA,NA,NA,NA,NA,NA,NA,NA,sten,Felsen,NA,NA,NA,ru: скала
braille,nom linguistica,un sistem de scrive usada par persones sieca,Braille,NA,NA,Braille (système d'écriture en relief pour les aveugles),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ברייל,NA,NA
cuban,nom,NA,Cuban,NA,NA,Cubain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קובני,NA,NA
copilote,nom veculo,la pilote du en un avion o otra veculo,copilot,NA,NA,copilote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: טייס משנה,NA,NA
reversa,verbo transitiva,move a retro; fa ce (un cosa) vade a retro; fa ce (un cosa) deveni sua oposante; intercambia (la rol) de du cosas o persones; cansela (un judi,reverse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
esplode,verbo transitiva,NA,explode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tacle,nom,NA,tackle,NA,placaje,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
interlinguistica,nom linguistica,la studia de aspetas diversa de comunica lingual entre persones ci no pote comprende lunlotra en sua propre linguas,interlinguistics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
predeterministe,nom,NA,predeterminist,NA,NA,prédéterministe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פטליסט,NA,NA
crocodil,nom retil,un retil grande,crocodile,NA,NA,crocodile,NA,NA,NA,NA,Crocodylidae,NA,NA,NA,NA,NA,NA,NA,he: תנין,NA,NA
Cupido,nom mitolojia,(en mitos roman) la dio de ama,Cupid,NA,NA,Cupidon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קופידון,NA,NA
creol,ajetivo demonim linguistica,pertinente a persones ci desende de un misca de europeanes e africanes,creole,NA,NA,créole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קריאולי,NA,NA
vampir,nom mitolojia,un umana mital cual bevi sangue umana,vampire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
funera,nom siensa-umana,la rituos onorante un person mor,funeral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
defende,nom,NA,defense|ce,NA,NA,défense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,הגנה,NA,ru: защита (в том числе в суде)
brigada,nom,un sudivide de un armada,brigade,NA,NA,brigade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חטיבה,NA,NA
incandese,nom,NA,incandescence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
interdepende,verbo nontransitiva,NA,interdepend,NA,NA,interdépendre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להיות בתלות הדדית,NA,NA
acuifer,nom tera,un strato de roca permeable e capas de porta acua,aquifer,grundakvejo,NA,aquifère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אקוויפר,NA,NA
sistem,nom filosofia,un colie de partes cual formi un intera complicada como un rede o macina; (en biolojia) un colie de organos en la corpo con strutur o funsiona comun; (en informatica) un grupo relatada de aparatos o programes o ambos,system,sistemo,sistema,système,NA,NA,NA,NA,NA,NA,NA,NA,NA,system,System,NA,NA,NA,NA
diversa,ajetivo,de spesies o fontes variosa o acaso,diverse,NA,NA,divers|diverses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מגוון,NA,NA
dufel,nom veste,un stofa de lana ru e spesa,duffel,NA,NA,duffel (étoffe),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דאפל (בד),NA,NA
bipede,ajetivo biolojia,(un animal) paseante sur sola du gamas,bipedal,NA,NA,bipède,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דו-רגלי,NA,NA
deporta,verbo transitiva governa,esclui (un stranjer) de un nasion,deport,NA,NA,déporter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לגרש,NA,NA
elitiste,ajetivo,NA,elitist,NA,NA,élitiste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אליטיסטי,NA,NA
cultivador,nom,NA,cultivator,NA,NA,motoculteur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קלטרת,NA,NA
alternante,nom,NA,alternant,NA,NA,alternant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: צורה חלופית,NA,NA
-es,sufisa ajetivo,ajuntada a un nom jeografial per formi un ajetivo pertinente a la loca,-ese,NA,NA,NA,NA,NA,-an,NA,NA,NA,NA,nederlandes,NA,NA,NA,NA,NA,NA,NA
transatlantica,ajetivo,NA,transatlantic,NA,NA,transatlantique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: טרנסאטלנטי,NA,NA
duxe,nom governa,un om ci teni la titulo eritada la plu alta en la aristocratia de Britan e alga otra renas; la renor mas de un stato peti autonom,duke,NA,duque,duc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דוכס,NA,NA
dotor,nom medica filosofia,un person ci ia completi la curso la plu alta per pratica medica,doctor,NA,NA,docteur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דוקטור,NA,NA
roca,verbo transitiva sporte,(en xace) move (la re) de sua cuadro orijinal par du cuadros en dirije a la cuadro de la tore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
indian,nom,NA,Indian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
canion,nom tera,un vale grande,canyon,NA,NA,canyon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,canón (val),he: קניון,NA,NA
esperimental,ajetivo,NA,experimental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
orgasma,verbo nontransitiva biolojia siensa-umana,ateni la culmina de stimula sesal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caloria,nom fisica,un de du unias per mesura enerjia de caldia,calorie,NA,caloría,calorie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: קלוריה,NA,NA
costal,averbo,NA,offshore,NA,NA,au bord de mer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מול החוף (בים),NA,NA
Alpes,nom plural jeografial,un cadena de montes en Suiz,Alps,NA,NA,Alpes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הרי האלפים,NA,NA
carbonato,nom cimica,un sal tipal formida par la reata de diosido de carbono con un base,carbonate,NA,NA,carbonate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: פחמה,NA,NA
importante,ajetivo,valuada per sua influe o efeto profonda,important,grava,importante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vigtig,NA,NA,NA,NA,NA
anjina,nom medica,un maladia marcada par dole intensa en la peto,angina,NA,NA,angine,NA,NA,NA,de elinica ankhone (strangula),NA,NA,NA,NA,NA,NA,NA,NA,he: אנגינה,NA,NA
orizon,nom fisica tera arte,la linia longo cual la sielo pare toca la tera o la tetos de construidas,horizon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adultera,nom,NA,adultery,adulto,NA,adultère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ניאוף,NA,NA
sudivide,verbo transitiva,NA,subdivide,NA,NA,subdiviser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לחלק לחלוקת משנה,NA,NA
stupida,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crior,nom avia,un person ci cria; un avia grande de America Sude,crier,NA,NA,kamichi (oiseau),NA,NA,NA,NA,Anhimidae,NA,NA,NA,NA,NA,NA,NA,he: קמיקי (ציפור),NA,NA
velal,ajetivo,NA,velar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a,esclama,espresante ce on es surprendeda,ah,ha,ah,ah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,אה,NA,ru: ааа
calma,ajetivo,(un person,calm,NA,NA,calme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: רגוע,NA,NA
benzoica,ajetivo cimica,NA,benzoic,NA,NA,benzoïque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (כימיה) בנזואי,NA,NA
baroneta,nom,NA,baronet,NA,NA,baronnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ברונט,NA,NA
barbudan,nom,NA,Barbudan,NA,NA,Barbudais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: תושב ברבודה,NA,NA
berber,ajetivo demonim,pertinente a la popla orijinal de Africa norde o a sua linguas afroasian,Berber,NA,NA,berbère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: ברברי (קבוצה אתנית),NA,NA
ambiente,ajetivo,NA,ambient,NA,NA,ambiant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מקיף,NA,NA
