word,gramatica,defini,en,eo,es,fr,capital,nota,vide,orijina,tasonomia,pronuncia,simbol,usa,an,da,de,gl,he,mt,ru,word_id,sim
radiolojiste,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7406,NA
ultravioleta,ajetivo fisica,con frecuentia plu alta ca lo de la color violeta ma min ca lo de raios X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9392,NA
barcon de vapor,nom veculo,NA,steamship,NA,NA,bateau à vapeur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אוניית קיטור,NA,NA,950,NA
enfante misera,nom,NA,urchin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3123,NA
iperglisemia,nom medica,glucosa suprabundante en la sangue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4532,NA
spesi,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8463,NA
asbesto,nom tera,un mineral de silicato cual pote es texeda o usada per resiste foco o isoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634,NA
vaderia,nom,NA,paddling pool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9489,NA
simial,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8236,NA
spadin,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8441,NA
ianci,nom,NA,(colloquial) Yankee (American),jankio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4224,NA
arpiste,nom,NA,harpist,NA,NA,harpiste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: נבלאי,NA,NA,604,NA
malti,nom demonim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5211,NA
misil de tera a aira,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5617,NA
silueta,verbo transitiva arte,presenta un forma oscur de (un person o cosa) contra un fondo plu luminada; representa (un person o cosa) par sola sua contorno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8225,NA
tolerable,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9047,NA
programor,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7236,NA
reflexolojial,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7490,NA
Pandjab,nom jeografial,un rejion de Barat norde-ueste e Pacistan norde-este,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6449,NA
diferensial,nom,un difere infinita peti entre valuas seguente de un variable,differential,NA,NA,différentielle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דיפרנציאל,NA,NA,2684,NA
tetrasiclina,nom medica,un antimicrobial per trata infetas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8977,NA
consola,verbo transitiva siensa-umana,comforta (algun) cuando el es lamentante o deludeda,console,NA,NA,consoler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לנחם,NA,NA,2068,NA
benes de cosina,nom plural,NA,kitchenware,NA,NA,ustensiles de cuisine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כלי מטבח,NA,NA,1031,NA
Idra,nom mitolojia,(en mitos elinica) un serpente con multe testas cual recrese si on talia los a via,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4264,NA
adulteror,nom,NA,adulterer,adultulo,NA,homme adultère ou femme adultère,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: נואף,NA,NA,108,NA
invador,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4492,NA
alexia,nom medica,un noncapasia de reconose o leje parolas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,NA
prelavada,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4892,NA
reti,verbo nontransitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7579,NA
cromosoma,nom biolojia,un strutur de asidas nucleal e protena,chromosome,NA,NA,chromosome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: כרומוזום,NA,NA,2355,NA
unidiste,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9407,NA
Corea Norde,nom jeografial,un otra nom per Txoson,North Korea,NA,NA,Corée du Nord,NA,NA,Txoson,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: צפון קוריאה,NA,NA,2161,NA
de bonsenti,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8072,NA
asiamanica,nom,NA,orientalist,NA,NA,orientaliste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אוריינטליסט,NA,NA,669,NA
fondable,nom,NA,fuse (electric),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3680,NA
gobio,nom pex,un pex peti de mar,NA,NA,NA,NA,NA,NA,NA,NA,Gobiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4016,NA
survivente,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8708,NA
braseta,nom,NA,bracket,NA,NA,parenthèse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: סוגר (סימן פיסוק),NA,NA,1259,NA
tro multe,determinante,NA,too many,NA,demasiado,trop de,NA,NA,NA,NA,NA,NA,NA,NA,NA,for meget,zu viel,NA,NA,NA,ru: слишком,9225,NA
es parlosa,verbo nontransitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6562,NA
majel,nom demonim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5193,NA
encantada,ajetivo,NA,enchanted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3093,NA
moralisme,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5730,NA
article de crede,nom,NA,article of faith,NA,NA,article de foi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עיקרון באמונה,NA,NA,617,NA
adotor,nom,NA,adopter,adoptanto,NA,adoptant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מאמץ,NA,NA,101,NA
pistoli,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6880,NA
anima,verbo nontransitiva arte,deveni vivente o parente vivente,animate,NA,NA,s'animer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להתעורר לחיים,NA,NA,387,NA
polacio,nom pex,un pex verdin brun e comable en familia de gado,NA,NA,NA,NA,NA,NA,NA,NA,Pollachius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6986,NA
antigovernal,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4039,NA
naturisme,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5899,NA
cresta de la tecnolojia,nom,NA,state of the art,NA,NA,les dernières avancées de la technologie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: העדכני ביותר,NA,NA,2298,NA
taxi-caro,nom veculo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8835,NA
desmovabli,verbo nontransitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5768,NA
periodo de incuba,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6728,NA
nesesada,ajetivo,NA,needed,NA,necesario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nødvendig,notwendig,NA,NA,NA,NA,5952,NA
Streta Luzon,nom jeografial,un streta a norde de Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5136,NA
astigmata,ajetivo medica,(un oio o lente) con un defeto causada par un devia de curvia sfera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,709,NA
avias de cultiveria,nom plural,NA,poultry,NA,NA,volaille,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עופות (למאכל),NA,NA,823,NA
visineria rica,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9675,NA
scrima,nom,NA,fencing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7958,NA
plia de tempo,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6951,NA
costurin,ajetivo,NA,seamlike,NA,NA,semblable à une couture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: דמוי תפר,NA,NA,2230,NA
prosimi furtiva,verbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7270,NA
hodos (via),NA,NA,anode,NA,NA,anode,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: אנודה,NA,NA,407,NA
melanesian,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5399,NA
sesisme,nom,NA,sexism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8141,NA
american orijinal,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6270,NA
desinteresada,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4459,NA
vosal,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9720,NA
asecura,verbo transitiva governa,organiza,insure,NA,NA,assurer (un risque),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לבטח,NA,NA,642,NA
becosisorin,nom nom-ajetivo avia,un avia de mar con alas longa,skimmer (bird),NA,NA,bec-en-ciseaux (oiseau),NA,NA,NA,NA,Rynchopidae,NA,NA,NA,NA,NA,NA,NA,he: גזרן (ציפור),NA,NA,1014,NA
saci,nom mamal,un simia de la tropicos de America con pelo ru e coda longa,NA,NA,NA,NA,NA,NA,NA,NA,Pithecia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7768,NA
jus de poma,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4798,NA
nix,nom arciteta biolojia,un alcova peti o basa,niche (alcove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6022,NA
pedi,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6651,NA
rima,verbo nontransitiva linguistica,(un parola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7636,NA
diminui,verbo transitiva,NA,decrease,NA,NA,faire diminuer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לצמצם,NA,NA,2702,NA
levacarga,nom verbo-nom veculo,un veculo usada per leva cargas pesosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4952,NA
abiteria,nom,un sala o casa do un person abita,residence,loĝejo,habitación,habitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מגורים,NA,NA,16,NA
fandango,nom musica,un dansa vivosa de Espania per du persones,fandango (dance),NA,fandango (baile),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3471,NA
fava verde,nom,NA,green bean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3509,NA
reduinte,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7483,NA
descori,verbo transitiva,NA,decore,NA,NA,enlever le cœur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להוציא ליבה (של פירות או ירקות),NA,NA,2147,NA
bubonal,ajetivo,NA,bubonic,NA,NA,bubonique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור לקשרי לימפה מודלקים,NA,NA,1311,NA
numero duable,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6079,NA
florin,nom,NA,florin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3650,NA
maurisian,nom demonim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5361,NA
retal,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,NA
planetolojiste,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6902,NA
buma,nom,NA,boom,NA,NA,boom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: עלייה חדה,NA,NA,1335,NA
en bon forma,ajetivo,NA,in good shape,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3703,NA
ave la direto,verbo,NA,have the right,NA,NA,avoir le droit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להיות זכאי (למשהו),NA,NA,2732,NA
fostrot,nom musica,un dansa de balo simil a un valsa,foxtrot (dance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731,NA
parafoco,nom verbo-nom,un porte o mur cual preveni la sperde de un focon; un sistem de computador cual impedi asedes nonpermeteda ma permete comunicas a esterna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6503,NA
psicopatolojia,nom siensa-umana,la studia siensal de disturbas mental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7326,NA
nonrefinada,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7487,NA
suvenires,nom plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8725,NA
popla,verbo transitiva siensa-umana,fa ce persones abita (un loca),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7052,NA
misioneria,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5618,NA
boxe,verbo transitiva sporte,combate (un oposor) usante sola sua punios,box,NA,boxear,boxer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להתאגרף,NA,NA,1245,NA
en dirije a,preposada,NA,in the direction of,NA,NA,en direction de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לעבר,NA,NA,2733,NA
tango,nom musica,un dansa orijinante en Arjentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8791,NA
Sion,nom jeografial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8290,NA
sensosa,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8064,NA
Leon,nom astronomia,un constela de la zodiaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,♌,NA,NA,NA,NA,NA,NA,NA,NA,4923,NA
nom de arcivo,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6033,NA
finsce,nom,NA,Finn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3614,NA
conteninte,ajetivo,NA,containing; continent (medical),NA,NA,contenant; continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מכיל; (רפואה) שולט בסוגרים,NA,NA,2089,NA
altia,esclama,NA,your highness,NA,NA,altesse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: הוד מלכותך,NA,NA,227,NA
ecomersia,nom,NA,e-commerce,NA,NA,e-commerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: מסחר אלקטרוני,NA,NA,1953,NA
basi,esclama,NA,down with ...,for la ...,NA,à bas ...,NA,NA,NA,NA,NA,NA,NA,basi la regulas!,NA,NA,NA,NA,he: הלאה ה...,NA,NA,963,NA
suprafolida,ajetivo,NA,overcrowded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3673,NA
Galisia,nom jeografial,un parte autonom de la norde-ueste de Espania; un rena antica en esta loca,Galicia (Spanish region),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3868,NA
mili,verbo nontransitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5558,NA
telugu,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8883,NA
teosofiste,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8922,NA
anona,nom planta cosini,un planta florinte en familia de asimina,annona (plant),NA,NA,annone (fruit),NA,NA,NA,NA,Annona,NA,NA,NA,NA,NA,NA,NA,he: אנונה (צמח,NA,NA,411,NA
ferovia streta,nom,NA,narrow-gauge railway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3555,NA
evitante,ajetivo,NA,evasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432,NA
istolojia,nom medica,la studia de la strutur microscopial de texedas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4619,NA
corpo de comunica,nom,NA,signals corps,NA,NA,le corps des Transmissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: חיל הקשר,NA,NA,2191,NA
sol,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8387,NA
caso la plu bon,nom,NA,best-case scenario,NA,NA,au mieux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: המקרה הכי טוב,NA,NA,1643,NA
dogon,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2814,NA
sirco,nom sporte,un compania de jinastas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8298,NA
tetra-,prefisa tecnical,cuatro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8971,NA
atica,ajetivo,NA,Attic (person,NA,NA,attique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שקשור לאטיקה,NA,NA,744,NA
premostra,verbo transitiva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5761,NA
ponte de pontones,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7045,NA
lamenta,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4834,NA
trapitota,nom verbo-nom,un categoria cual conteni elementos de multe spesies diversa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9154,NA
ecipo prima,nom,NA,first team,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: נבחרת,NA,NA,2903,NA
euclidal,ajetivo,NA,Euclidean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3403,NA
sesdes,determinante,NA,sixty,NA,NA,soixante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: שישים,NA,NA,2600,NA
fotografia a intervales,nom,NA,timelapse photography,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3736,NA
solve bela,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8406,NA
minimax,nom,(en la teoria de juas) la plu basa de un colie de masimas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5586,NA
evocante,ajetivo,NA,evocative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3433,NA
Sexeles,nom plural jeografial,un pais composada de un grupo de sirca 90 isolas en la Mar Indian,NA,NA,NA,NA,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8157,NA
enscrive,nom,NA,inscription,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3138,NA
senato,nom governa,un de alga legerias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8054,NA
feltri,verbo transitiva,NA,full (material),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3527,NA
osmol,nom cimica,un unia de presa osmosal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6336,NA
sterilador,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8553,NA
ambigui,verbo transitiva,NA,make ambiguous,NA,NA,rendre ambigu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לגרום לדו-משמעות או רב-משמעות,NA,NA,270,NA
moiste,ajetivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5656,NA
odontia,nom medica,un siensa cual studia la strutur e maladias de dentes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6119,NA
portulaca,nom planta,un planta peti con folias pulposa cual crese en locas moiada,NA,NA,NA,NA,NA,NA,NA,NA,Portulaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7123,NA
monorel,nom veculo,un ferovia con sola un rel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5707,NA
torxa per solda,nom,NA,blowtorch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9092,NA
leje,verbo transitiva,regarda,read,NA,leer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,læse,lesen,NA,NA,NA,NA,4909,NA
mercato de pulgas,nom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5446,NA
cuadri,verbo transitiva,NA,square,NA,NA,carrer (rendre carré),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: לרבע,NA,NA,2382,NA
nepentes,nom planta,un planta con un pox grande con forma de carafa a cual lo atrae insetos per trapi e asorbe los per nuri se,NA,NA,NA,NA,NA,NA,NA,NA,Nepenthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5949,NA
velosiraptor,nom dinosauro,un dinosauro carnivor peti de la cretasica,NA,NA,NA,NA,NA,NA,NA,NA,Velociraptor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9559,NA
sperma (seme),NA,NA,azoospermia (medical),NA,NA,azoospermie (médecine),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (רפואה) אזוספרמיה,NA,NA,848,NA
banxi,nom mitolojia,(en mitos eres) un spirito fema de ci sua ululas averti a un mori prosima,banshee,NA,NA,banshee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: בנשי,NA,NA,933,NA
prende la rol de,verbo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7168,NA
capitali,verbo transitiva,NA,capitalize|is,NA,NA,capitaliser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: להוון,NA,NA,1526,NA
ipogonadia,nom medica,un manca de secrete ormonal o otra ativia de la gonadas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4568,NA
butil,nom cimica,la alcil {-C4H9},butyl (chemistry),NA,NA,butyle (chimie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,he: (כימיה) בוטיל,NA,NA,1368,NA
